"","Transcript.ID","gene_assignment","Gene.Symbol","RefSeq","p.value.Diagnosis.","p.value.Control.vs..Schizophrenia.","Ratio.Control.vs..Schizophrenia.","Fold.Change.Control.vs..Schizophrenia.","Fold.Change.Control.vs..Schizophrenia...Description.","F.Diagnosis.","SS.Diagnosis.","SS.Error.","F.Error.","FoldChange","p.value"
"68",8142554,"NM_005763 // AASS // aminoadipate-semialdehyde synthase // 7q31.3 // 10157 /// E","AASS","NM_005763",0.00246167,0.00246167,0.832569,-1.2011,"Control down vs Schizophrenia",11.6844,0.419312,0.7895,1,-1.2011,0.00246167
"71",7993126,"NM_020686 // ABAT // 4-aminobutyrate aminotransferase // 16p13.2 // 18 /// NM_00","ABAT","NM_020686",0.00565795,0.00565795,1.24788,1.24788,"Control up vs Schizophrenia",9.39979,0.612385,1.43327,1,1.24788,0.00565795
"77",8132743,"NM_152701 // ABCA13 // ATP-binding cassette, sub-family A (ABC1), member 13 // 7","ABCA13","NM_152701",0.0325504,0.0325504,0.868687,-1.15116,"Control down vs Schizophrenia",5.20558,0.247479,1.0459,1,-1.15116,0.0325504
"78",8165345,"NM_001606 // ABCA2 // ATP-binding cassette, sub-family A (ABC1), member 2 // 9q3","ABCA2","NM_001606",0.0176894,0.0176894,1.11386,1.11386,"Control up vs Schizophrenia",6.57534,0.145215,0.485866,1,1.11386,0.0176894
"79",7998784,"NM_001089 // ABCA3 // ATP-binding cassette, sub-family A (ABC1), member 3 // 16p","ABCA3","NM_001089",0.00272578,0.00272578,1.21738,1.21738,"Control up vs Schizophrenia",11.3943,0.483175,0.932913,1,1.21738,0.00272578
"80",7917798,"NM_000350 // ABCA4 // ATP-binding cassette, sub-family A (ABC1), member 4 // 1p2","ABCA4","NM_000350",0.000532355,0.000532355,0.861454,-1.16083,"Control down vs Schizophrenia",16.4122,0.27775,0.372314,1,-1.16083,0.000532355
"81",8018038,"NM_018672 // ABCA5 // ATP-binding cassette, sub-family A (ABC1), member 5 // 17q","ABCA5","NM_018672",0.00468678,0.00468678,0.617682,-1.61896,"Control down vs Schizophrenia",9.89999,2.89868,6.44152,1,-1.61896,0.00468678
"85",8017927,"NM_080283 // ABCA9 // ATP-binding cassette, sub-family A (ABC1), member 9 // 17q","ABCA9","NM_080283",0.0225622,0.0225622,0.700807,-1.42693,"Control down vs Schizophrenia",6.01704,1.57847,5.77131,1,-1.42693,0.0225622
"88",8056583,"NM_003742 // ABCB11 // ATP-binding cassette, sub-family B (MDR/TAP), member 11 /","ABCB11","NM_003742",0.0155987,0.0155987,0.899284,-1.112,"Control down vs Schizophrenia",6.87008,0.140733,0.450667,1,-1.112,0.0155987
"97",7967337,"NM_019625 // ABCB9 // ATP-binding cassette, sub-family B (MDR/TAP), member 9 // ","ABCB9","NM_019625",0.0405221,0.0405221,1.11711,1.11711,"Control up vs Schizophrenia",4.73768,0.153149,0.711167,1,1.11711,0.0405221
"101",8001235,"NM_033226 // ABCC12 // ATP-binding cassette, sub-family C (CFTR/MRP), member 12 ","ABCC12","NM_033226",0.0169656,0.0169656,0.832871,-1.20067,"Control down vs Schizophrenia",6.67277,0.417656,1.377,1,-1.20067,0.0169656
"107",7999727,"NM_001171 // ABCC6 // ATP-binding cassette, sub-family C (CFTR/MRP), member 6 //","ABCC6","NM_001171",0.0050152,0.0050152,0.89771,-1.11395,"Control down vs Schizophrenia",9.71898,0.145415,0.329162,1,-1.11395,0.0050152
"110",7961710,"NM_005691 // ABCC9 // ATP-binding cassette, sub-family C (CFTR/MRP), member 9 //","ABCC9","NM_005691",0.00418534,0.00418534,0.673399,-1.485,"Control down vs Schizophrenia",10.2052,1.9526,4.20933,1,-1.485,0.00418534
"111",8170704,"NM_000033 // ABCD1 // ATP-binding cassette, sub-family D (ALD), member 1 // Xq28","ABCD1","NM_000033",0.0114072,0.0114072,0.877467,-1.13964,"Control down vs Schizophrenia",7.62149,0.21338,0.615938,1,-1.13964,0.0114072
"114",7980115,"NM_005050 // ABCD4 // ATP-binding cassette, sub-family D (ALD), member 4 // 14q2","ABCD4","NM_005050",0.0425942,0.0425942,0.927671,-1.07797,"Control down vs Schizophrenia",4.63296,0.0703929,0.334266,1,-1.07797,0.0425942
"122",8101675,"NM_004827 // ABCG2 // ATP-binding cassette, sub-family G (WHITE), member 2 // 4q","ABCG2","NM_004827",0.0193626,0.0193626,0.729415,-1.37096,"Control down vs Schizophrenia",6.36615,1.24318,4.29617,1,-1.37096,0.0193626
"123",7944447,"NM_022169 // ABCG4 // ATP-binding cassette, sub-family G (WHITE), member 4 // 11","ABCG4","NM_022169",0.00167454,0.00167454,1.13866,1.13866,"Control up vs Schizophrenia",12.8084,0.210578,0.361693,1,1.13866,0.00167454
"124",8051866,"NM_022436 // ABCG5 // ATP-binding cassette, sub-family G (WHITE), member 5 // 2p","ABCG5","NM_022436",0.0486272,0.0486272,0.911786,-1.09675,"Control down vs Schizophrenia",4.35811,0.106505,0.537645,1,-1.09675,0.0486272
"127",8081612,"NM_018394 // ABHD10 // abhydrolase domain containing 10 // 3q13.2 // 55347 /// E","ABHD10","NM_018394",6.43e-05,6.43e-05,0.815736,-1.22589,"Control down vs Schizophrenia",24.1836,0.518001,0.47123,1,-1.22589,6.43e-05
"135",7985809,"NM_007011 // ABHD2 // abhydrolase domain containing 2 // 15q26.1 // 11057 /// NM","ABHD2","NM_007011",0.0167873,0.0167873,1.28517,1.28517,"Control up vs Schizophrenia",6.69749,0.786093,2.58217,1,1.28517,0.0167873
"143",8047659,"NM_005759 // ABI2 // abl-interactor 2 // 2q33 // 10152 /// ENST00000261017 // AB","ABI2","NM_005759",0.0253791,0.0253791,1.06144,1.06144,"Control up vs Schizophrenia",5.75268,0.044393,0.169772,1,1.06144,0.0253791
"146",8158725,"NM_005157 // ABL1 // c-abl oncogene 1, receptor tyrosine kinase // 9q34.1 // 25 ","ABL1","NM_005157",0.00872625,0.00872625,0.893837,-1.11877,"Control down vs Schizophrenia",8.28542,0.157302,0.417679,1,-1.11877,0.00872625
"153",8010983,"NM_021962 // ABR // active BCR-related gene // 17p13.3 // 29 /// NM_001092 // AB","ABR","NM_021962",0.00675631,0.00675631,1.14953,1.14953,"Control up vs Schizophrenia",8.93737,0.242499,0.596928,1,1.14953,0.00675631
"155",8117522,"NM_013375 // ABT1 // activator of basal transcription 1 // 6p22.2 // 29777 /// E","ABT1","NM_013375",0.00131723,0.00131723,0.814703,-1.22744,"Control down vs Schizophrenia",13.5303,0.524468,0.852772,1,-1.22744,0.00131723
"161",8014487,"NM_198839 // ACACA // acetyl-CoA carboxylase alpha // 17q21 // 31 /// NM_198834 ","ACACA","NM_198839",0.0131581,0.0131581,0.903998,-1.1062,"Control down vs Schizophrenia",7.27543,0.127211,0.384669,1,-1.1062,0.0131581
"163",7958761,"NM_001136538 // ACAD10 // acyl-CoA dehydrogenase family, member 10 // 12q24.12 /","ACAD10","NM_001136538",0.00538879,0.00538879,0.881908,-1.13391,"Control down vs Schizophrenia",9.52833,0.197218,0.455358,1,-1.13391,0.00538879
"164",8090715,"NM_032169 // ACAD11 // acyl-CoA dehydrogenase family, member 11 // 3q22.1 // 841","ACAD11","NM_032169",0.0255473,0.0255473,0.83066,-1.20386,"Control down vs Schizophrenia",5.73795,0.429884,1.64823,1,-1.20386,0.0255473
"166",8090511,"NM_014049 // ACAD9 // acyl-CoA dehydrogenase family, member 9 // 3q21.3 // 28976","ACAD9","NM_014049",0.00297942,0.00297942,0.746904,-1.33886,"Control down vs Schizophrenia",11.1433,1.06348,2.09959,1,-1.33886,0.00297942
"173",7985786,"NM_013227 // ACAN // aggrecan // 15q26.1 // 176 /// NM_001135 // ACAN // aggreca","ACAN","NM_013227",0.00460401,0.00460401,1.15621,1.15621,"Control up vs Schizophrenia",9.94782,0.263105,0.581867,1,1.15621,0.00460401
"175",8092933,"NM_012287 // ACAP2 // ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 /","ACAP2","NM_012287",0.0225327,0.0225327,0.908989,-1.10012,"Control down vs Schizophrenia",6.02,0.11371,0.415551,1,-1.10012,0.0225327
"185",7955317,"NM_020039 // ACCN2 // amiloride-sensitive cation channel 2, neuronal // 12q12 //","ACCN2","NM_020039",0.027955,0.027955,1.21341,1.21341,"Control up vs Schizophrenia",5.53821,0.467256,1.85613,1,1.21341,0.027955
"187",8048611,"NM_018674 // ACCN4 // amiloride-sensitive cation channel 4, pituitary // 2q35 //","ACCN4","NM_018674",1.97e-07,1.97e-07,1.97812,1.97812,"Control up vs Schizophrenia",55.2115,5.81103,2.31551,1,1.97812,1.97e-07
"188",8103378,"NM_017419 // ACCN5 // amiloride-sensitive cation channel 5, intestinal // 4q31.3","ACCN5","NM_017419",0.0423541,0.0423541,0.896332,-1.11566,"Control down vs Schizophrenia",4.6448,0.149585,0.708505,1,-1.11566,0.0423541
"195",8154563,"NM_001010887 // ACER2 // alkaline ceramidase 2 // 9p22.1 // 340485 /// ENST00000","ACER2","NM_001010887",0.0451793,0.0451793,0.921993,-1.08461,"Control down vs Schizophrenia",4.51012,0.0823762,0.401825,1,-1.08461,0.0451793
"206",7901613,"NM_147161 // ACOT11 // acyl-CoA thioesterase 11 // 1p32.3 // 26027 /// NM_015547","ACOT11","NM_147161",0.0115179,0.0115179,0.89294,-1.1199,"Control down vs Schizophrenia",7.59793,0.160127,0.463652,1,-1.1199,0.0115179
"208",8112920,"NM_130767 // ACOT12 // acyl-CoA thioesterase 12 // 5q14.1 // 134526 /// ENST0000","ACOT12","NM_130767",0.0056866,0.0056866,0.874125,-1.144,"Control down vs Schizophrenia",9.38651,0.226022,0.529747,1,-1.144,0.0056866
"216",8171802,"NM_001037171 // ACOT9 // acyl-CoA thioesterase 9 // Xp22.11 // 23597 /// NM_0010","ACOT9","NM_001037171",0.00364079,0.00364079,0.658603,-1.51837,"Control down vs Schizophrenia",10.5861,2.17818,4.5267,1,-1.51837,0.00364079
"219",8099304,"NM_003501 // ACOX3 // acyl-CoA oxidase 3, pristanoyl // 4p15.3 // 8310 /// NM_00","ACOX3","NM_003501",0.033767,0.033767,0.917821,-1.08954,"Control down vs Schizophrenia",5.12631,0.0918323,0.394106,1,-1.08954,0.033767
"225",8083075,"NM_152282 // ACPL2 // acid phosphatase-like 2 // 3q23 // 92370 /// NM_001037172 ","ACPL2","NM_152282",0.0481918,0.0481918,1.10767,1.10767,"Control up vs Schizophrenia",4.37662,0.130593,0.656456,1,1.10767,0.0481918
"230",7960642,"NM_032489 // ACRBP // acrosin binding protein // 12p13.31 // 84519 /// ENST00000","ACRBP","NM_032489",0.00827965,0.00827965,0.849494,-1.17717,"Control down vs Schizophrenia",8.41785,0.332267,0.868379,1,-1.17717,0.00827965
"233",7990683,"NM_015162 // ACSBG1 // acyl-CoA synthetase bubblegum family member 1 // 15q23-q2","ACSBG1","NM_015162",0.0220264,0.0220264,1.53094,1.53094,"Control up vs Schizophrenia",6.0715,2.26506,8.20744,1,1.53094,0.0220264
"235",8008321,"NM_025149 // ACSF2 // acyl-CoA synthetase family member 2 // 17q21.33 // 80221 /","ACSF2","NM_025149",0.0304556,0.0304556,0.797801,-1.25344,"Control down vs Schizophrenia",5.3502,0.637259,2.6204,1,-1.25344,0.0304556
"241",8113938,"NM_015256 // ACSL6 // acyl-CoA synthetase long-chain family member 6 // 5q31 // ","ACSL6","NM_015256",0.000275499,0.000275499,1.34514,1.34514,"Control up vs Schizophrenia",18.6703,1.09787,1.29366,1,1.34514,0.000275499
"250",7924910,"NM_001100 // ACTA1 // actin, alpha 1, skeletal muscle // 1q42.13 // 58 /// ENST0","ACTA1","NM_001100",0.0278283,0.0278283,0.792499,-1.26183,"Control down vs Schizophrenia",5.54824,0.675438,2.67826,1,-1.26183,0.0278283
"255",7987315,"NM_005159 // ACTC1 // actin, alpha, cardiac muscle 1 // 15q11-q14 // 70 /// ENST","ACTC1","NM_005159",0.0179702,0.0179702,0.550555,-1.81635,"Control down vs Schizophrenia",6.53873,4.44837,14.9668,1,-1.81635,0.0179702
"258",8084067,"NM_178042 // ACTL6A // actin-like 6A // 3q26.33 // 86 /// NM_004301 // ACTL6A //","ACTL6A","NM_178042",0.0242556,0.0242556,0.865547,-1.15534,"Control down vs Schizophrenia",5.854,0.260373,0.978512,1,-1.15534,0.0242556
"259",8141580,"NM_016188 // ACTL6B // actin-like 6B // 7q22 // 51412 /// ENST00000160382 // ACT","ACTL6B","NM_016188",0.000360157,0.000360157,1.59916,1.59916,"Control up vs Schizophrenia",17.7347,2.75256,3.41457,1,1.59916,0.000360157
"271",8042337,"NM_001005386 // ACTR2 // ARP2 actin-related protein 2 homolog (yeast) // 2p14 //","ACTR2","NM_001005386",0.0070116,0.0070116,0.916522,-1.09108,"Control down vs Schizophrenia",8.84177,0.0948908,0.236106,1,-1.09108,0.0070116
"273",8137474,"NM_020445 // ACTR3B // ARP3 actin-related protein 3 homolog B (yeast) // 7q36.1 ","ACTR3B","NM_020445",0.0180472,0.0180472,0.898895,-1.11248,"Control down vs Schizophrenia",6.5288,0.141882,0.478099,1,-1.11248,0.0180472
"275",8062545,"NM_024855 // ACTR5 // ARP5 actin-related protein 5 homolog (yeast) // 20q11.23 /","ACTR5","NM_024855",0.0324904,0.0324904,0.899457,-1.11178,"Control down vs Schizophrenia",5.20957,0.140223,0.592161,1,-1.11178,0.0324904
"280",8056005,"NM_001105 // ACVR1 // activin A receptor, type I // 2q23-q24 // 90 /// NM_001111","ACVR1","NM_001105",0.0120571,0.0120571,0.727189,-1.37516,"Control down vs Schizophrenia",7.48657,1.26738,3.72432,1,-1.37516,0.0120571
"281",7955535,"NM_004302 // ACVR1B // activin A receptor, type IB // 12q13 // 91 /// NM_020328 ","ACVR1B","NM_004302",0.0324723,0.0324723,1.14196,1.14196,"Control up vs Schizophrenia",5.21078,0.22007,0.929139,1,1.14196,0.0324723
"286",8080168,"NM_000666 // ACY1 // aminoacylase 1 // 3p21.1 // 95 /// ENST00000404366 // ACY1 ","ACY1","NM_000666",4.84e-06,4.84e-06,0.798963,-1.25162,"Control down vs Schizophrenia",36.0364,0.629078,0.384048,1,-1.25162,4.84e-06
"288",7980265,"NM_203488 // ACYP1 // acylphosphatase 1, erythrocyte (common) type // 14q24.3 //","ACYP1","NM_203488",0.0128598,0.0128598,0.863035,-1.1587,"Control down vs Schizophrenia",7.33063,0.270961,0.813184,1,-1.1587,0.0128598
"289",8041982,"NM_138448 // ACYP2 // acylphosphatase 2, muscle type // 2p16.2 // 98 /// ENST000","ACYP2","NM_138448",0.00799217,0.00799217,1.16598,1.16598,"Control up vs Schizophrenia",8.50735,0.294497,0.76157,1,1.16598,0.00799217
"290",8066431,"NM_000022 // ADA // adenosine deaminase // 20q12-q13.11 // 100 /// ENST000003728","ADA","NM_000022",1.52e-05,1.52e-05,0.611005,-1.63665,"Control down vs Schizophrenia",30.4307,3.03094,2.19122,1,-1.63665,1.52e-05
"298",7905881,"NM_207196 // ADAM15 // ADAM metallopeptidase domain 15 // 1q21.3 // 8751 /// NM_","ADAM15","NM_207196",0.00470501,0.00470501,1.15462,1.15462,"Control up vs Schizophrenia",9.88958,0.258144,0.574258,1,1.15462,0.00470501
"299",8050190,"NM_003183 // ADAM17 // ADAM metallopeptidase domain 17 // 2p25 // 6868 /// ENST0","ADAM17","NM_003183",0.00269295,0.00269295,0.835938,-1.19626,"Control down vs Schizophrenia",11.4286,0.401032,0.771985,1,-1.19626,0.00269295
"306",8133983,"NM_021723 // ADAM22 // ADAM metallopeptidase domain 22 // 7q21 // 53616 /// NM_0","ADAM22","NM_021723",0.0435105,0.0435105,1.11369,1.11369,"Control up vs Schizophrenia",4.58848,0.144797,0.694247,1,1.11369,0.0435105
"308",8145293,"NM_014265 // ADAM28 // ADAM metallopeptidase domain 28 // 8p21.2 // 10863 /// NM","ADAM28","NM_014265",0.0152578,0.0152578,0.630647,-1.58567,"Control down vs Schizophrenia",6.92228,2.65411,8.43516,1,-1.58567,0.0152578
"309",8098368,"NM_014269 // ADAM29 // ADAM metallopeptidase domain 29 // 4q34 // 11086 /// NM_0","ADAM29","NM_014269",0.0264993,0.0264993,1.18858,1.18858,"Control up vs Schizophrenia",5.65655,0.372733,1.44967,1,1.18858,0.0264993
"318",8146000,"NM_003816 // ADAM9 // ADAM metallopeptidase domain 9 (meltrin gamma) // 8p11.22 ","ADAM9","NM_003816",0.0399601,0.0399601,1.26012,1.26012,"Control up vs Schizophrenia",4.76713,0.667566,3.08078,1,1.26012,0.0399601
"320",8069676,"NM_006988 // ADAMTS1 // ADAM metallopeptidase with thrombospondin type 1 motif, ","ADAMTS1","NM_006988",0.030884,0.030884,0.838878,-1.19207,"Control down vs Schizophrenia",5.31974,0.385475,1.59415,1,-1.19207,0.030884
"321",8033635,"NM_030957 // ADAMTS10 // ADAM metallopeptidase with thrombospondin type 1 motif,","ADAMTS10","NM_030957",0.00931721,0.00931721,0.882277,-1.13343,"Control down vs Schizophrenia",8.12126,0.195906,0.530697,1,-1.13343,0.00931721
"325",7945232,"NM_139055 // ADAMTS15 // ADAM metallopeptidase with thrombospondin type 1 motif,","ADAMTS15","NM_139055",1.78e-06,1.78e-06,1.99245,1.99245,"Control up vs Schizophrenia",41.4467,5.93474,3.15018,1,1.99245,1.78e-06
"327",7991516,"NM_139057 // ADAMTS17 // ADAM metallopeptidase with thrombospondin type 1 motif,","ADAMTS17","NM_139057",0.0402948,0.0402948,0.829481,-1.20557,"Control down vs Schizophrenia",4.74953,0.436488,2.02183,1,-1.20557,0.0402948
"329",8107823,"NM_133638 // ADAMTS19 // ADAM metallopeptidase with thrombospondin type 1 motif,","ADAMTS19","NM_133638",3.81e-05,3.81e-05,1.4085,1.4085,"Control up vs Schizophrenia",26.3543,1.46513,1.22306,1,1.4085,3.81e-05
"339",8154491,"NM_001040272 // ADAMTSL1 // ADAMTS-like 1 // 9p22.2-p22.1 // 92949 /// NM_052866","ADAMTSL1","NM_001040272",3.45e-07,3.45e-07,2.04129,2.04129,"Control up vs Schizophrenia",51.4315,6.35903,2.7201,1,2.04129,3.45e-07
"340",8154512,"NM_001040272 // ADAMTSL1 // ADAMTS-like 1 // 9p22.2-p22.1 // 92949 /// ENST00000","ADAMTSL1","NM_001040272",1.17e-05,1.17e-05,1.50415,1.50415,"Control up vs Schizophrenia",31.6494,2.08113,1.44663,1,1.50415,1.17e-05
"346",8137680,"NM_006869 // ADAP1 // ArfGAP with dual PH domains 1 // 7p22.3 // 11033 /// ENST0","ADAP1","NM_006869",0.00429442,0.00429442,1.17681,1.17681,"Control up vs Schizophrenia",10.1355,0.331033,0.718535,1,1.17681,0.00429442
"350",7931764,"NM_018702 // ADARB2 // adenosine deaminase, RNA-specific, B2 (RED2 homolog rat) ","ADARB2","NM_018702",0.0172671,0.0172671,1.32749,1.32749,"Control up vs Schizophrenia",6.63164,1.00224,3.32486,1,1.32749,0.0172671
"357",8036938,"NM_024876 // ADCK4 // aarF domain containing kinase 4 // 19q13.2 // 79934 /// NM","ADCK4","NM_024876",0.0195443,0.0195443,0.903593,-1.10669,"Control down vs Schizophrenia",6.34465,0.128342,0.445024,1,-1.10669,0.0195443
"359",8132667,"NM_021116 // ADCY1 // adenylate cyclase 1 (brain) // 7p13-p12 // 107 /// ENST000","ADCY1","NM_021116",0.0208201,0.0208201,1.17581,1.17581,"Control up vs Schizophrenia",6.1997,0.327572,1.16241,1,1.17581,0.0208201
"364",8090070,"NM_183357 // ADCY5 // adenylate cyclase 5 // 3q13.2-q21 // 111 /// ENST000003098","ADCY5","NM_183357",0.000313228,0.000313228,1.64118,1.64118,"Control up vs Schizophrenia",18.2192,3.06508,3.70113,1,1.64118,0.000313228
"366",7995492,"NM_001114 // ADCY7 // adenylate cyclase 7 // 16q12-q13 // 113 /// ENST0000039469","ADCY7","NM_001114",0.000703914,0.000703914,1.262,1.262,"Control up vs Schizophrenia",15.4966,0.676221,0.960005,1,1.262,0.000703914
"367",8152902,"NM_001115 // ADCY8 // adenylate cyclase 8 (brain) // 8q24 // 114 /// ENST0000028","ADCY8","NM_001115",3.67e-05,3.67e-05,1.4088,1.4088,"Control up vs Schizophrenia",26.5148,1.46696,1.21718,1,1.4088,3.67e-05
"368",7999079,"NM_001116 // ADCY9 // adenylate cyclase 9 // 16p13.3 // 115 /// ENST00000294016 ","ADCY9","NM_001116",0.0427346,0.0427346,1.12863,1.12863,"Control up vs Schizophrenia",4.62608,0.182843,0.869538,1,1.12863,0.0427346
"369",8019851,"NM_001099733 // ADCYAP1 // adenylate cyclase activating polypeptide 1 (pituitary","ADCYAP1","NM_001099733",0.0457985,0.0457985,0.803897,-1.24394,"Control down vs Schizophrenia",4.48187,0.595041,2.92086,1,-1.24394,0.0457985
"376",8101893,"NM_000669 // ADH1C // alcohol dehydrogenase 1C (class I), gamma polypeptide // 4","ADH1C","NM_000669",0.00613744,0.00613744,0.7913,-1.26374,"Control down vs Schizophrenia",9.18671,0.684261,1.63864,1,-1.26374,0.00613744
"397",7990231,"NR_023318 // ADPGK // ADP-dependent glucokinase // 15q24.1 // 83440 /// NM_03128","ADPGK","NR_023318",0.00819585,0.00819585,0.905976,-1.10378,"Control down vs Schizophrenia",8.44358,0.121762,0.317255,1,-1.10378,0.00819585
"401",8149885,"NM_000680 // ADRA1A // adrenergic, alpha-1A-, receptor // 8p21-p11.2 // 148 /// ","ADRA1A","NM_000680",2.84e-09,2.84e-09,3.8111,3.8111,"Control up vs Schizophrenia",90.9694,22.3542,5.40614,1,3.8111,2.84e-09
"415",7977273,"NM_152328 // ADSSL1 // adenylosuccinate synthase like 1 // 14q32.33 // 122622 //","ADSSL1","NM_152328",0.0085995,0.0085995,0.811404,-1.23243,"Control down vs Schizophrenia",8.32223,0.545443,1.44189,1,-1.23243,0.0085995
"417",7954279,"NM_153207 // AEBP2 // AE binding protein 2 // 12p12.3 // 121536 /// NM_001114176","AEBP2","NM_153207",0.000458989,0.000458989,0.795578,-1.25695,"Control down vs Schizophrenia",16.9083,0.653104,0.849778,1,-1.25695,0.000458989
"423",8109120,"NM_152406 // AFAP1L1 // actin filament associated protein 1-like 1 // 5q32 // 13","AFAP1L1","NM_152406",0.0327563,0.0327563,0.887211,-1.12713,"Control down vs Schizophrenia",5.19193,0.17885,0.757848,1,-1.12713,0.0327563
"426",8096224,"NM_001166693 // AFF1 // AF4/FMR2 family, member 1 // 4q21 // 4299 /// NM_005935 ","AFF1","NM_001166693",0.0146847,0.0146847,1.26335,1.26335,"Control up vs Schizophrenia",7.01305,0.682453,2.14086,1,1.26335,0.0146847
"427",8170364,"NM_002025 // AFF2 // AF4/FMR2 family, member 2 // Xq28 // 2334 /// NM_001169123 ","AFF2","NM_002025",0.000808809,0.000808809,1.48229,1.48229,"Control up vs Schizophrenia",15.0504,1.93459,2.82788,1,1.48229,0.000808809
"433",8010248,"NM_001010982 // AFMID // arylformamidase // 17q25.3 // 125061 /// NM_001145526 /","AFMID","NM_001010982",5.9e-07,5.9e-07,0.800207,-1.24968,"Control down vs Schizophrenia",47.9967,0.620386,0.284363,1,-1.24968,5.9e-07
"438",8049448,"NM_001037131 // AGAP1 // ArfGAP with GTPase domain, ankyrin repeat and PH domain","AGAP1","NM_001037131",0.0348926,0.0348926,1.09006,1.09006,"Control up vs Schizophrenia",5.05577,0.0928657,0.404102,1,1.09006,0.0348926
"452",7985741,"NM_152336 // AGBL1 // ATP/GTP binding protein-like 1 // 15q25.3 // 123624 /// EN","AGBL1","NM_152336",0.0474962,0.0474962,1.34249,1.34249,"Control up vs Schizophrenia",4.40659,1.08329,5.40836,1,1.34249,0.0474962
"455",7915971,"NM_032785 // AGBL4 // ATP/GTP binding protein-like 4 // 1p33 // 84871 /// ENST00","AGBL4","NM_032785",0.0312335,0.0312335,1.30003,1.30003,"Control up vs Schizophrenia",5.29523,0.859759,3.57202,1,1.30003,0.0312335
"457",8178771,"NM_001136 // AGER // advanced glycosylation end product-specific receptor // 6p2","AGER","NM_001136",0.0183559,0.0183559,0.887656,-1.12656,"Control down vs Schizophrenia",6.48948,0.177355,0.601251,1,-1.12656,0.0183559
"458",8125341,"NM_001136 // AGER // advanced glycosylation end product-specific receptor // 6p2","AGER","NM_001136",0.0382995,0.0382995,0.90047,-1.11053,"Control down vs Schizophrenia",4.85694,0.137258,0.621724,1,-1.11053,0.0382995
"459",8179967,"NM_001136 // AGER // advanced glycosylation end product-specific receptor // 6p2","AGER","NM_001136",0.0436679,0.0436679,0.900145,-1.11093,"Control down vs Schizophrenia",4.58094,0.138206,0.663736,1,-1.11093,0.0436679
