Column#	Transcript ID	gene assignment	Gene Symbol	RefSeq	p-value (TYPE)	p-value (Subject ID (type))	p-value (Subjec ID (TYPE))	Ratio (Control vs SCZD)	Fold-Change (Control vs SCZD)	Fold-Change (Control vs SCZD) Description	F (Subject ID (TYPE)	SS (Subject ID (TYPE))	F (TYPE)	SS (TYPE)	SS (ERROR)	Flag
24677	8101862	NM_001102470 // ADH6 // alcohol dehydrogenase 6 (class V) // 4q23 // 130 /// NM_	ADH6	NM_001102470	0.0306141	0.867178	0.0306141	1.05451	1.05451	Control up vs SZD	0.401618	0.0266629	7.91588	0.0351767	0.177036	1
29389	8146687	"NM_144650 // ADHFE1 // alcohol dehydrogenase, iron containing, 1 // 8q13.1 // 13"	ADHFE1	NM_144650	0.0127599	1.41E-06	0.0127599	2.13942	2.13942	Control up vs SZD	19.814	3.52936	12.2799	7.22339	0.475	1
15004	8005134	NM_000676 // ADORA2B // adenosine A2b receptor // 17p12-p11.2 // 136 /// ENST000	ADORA2B	NM_000676	0.00257219	0.0278403	0.00257219	0.746639	-1.33934	Control down vs SZD	3.24487	0.260815	24.5246	1.06606	0.21434	1
29764	8149885	"NM_000680 // ADRA1A // adrenergic, alpha-1A-, receptor // 8p21-p11.2 // 148 /// "	ADRA1A	NM_000680	0.0385852	7.36E-06	0.0385852	1.60282	1.60282	Control up vs SZD	15.4919	2.39429	6.96502	2.77938	0.412135	1
19949	8054254	"NM_002285 // AFF3 // AF4/FMR2 family, member 3 // 2q11.2-q12 // 3899 /// NM_0010"	AFF3	NM_002285	0.0275641	0.00112482	0.0275641	1.26767	1.26767	Control up vs SZD	6.65414	0.503441	8.37285	0.70254	0.201756	1
25956	8114083	"NM_014423 // AFF4 // AF4/FMR2 family, member 4 // 5q31 // 27125 /// ENST00000265"	AFF4	NM_014423	0.0116258	0.00530212	0.0116258	0.786303	-1.27177	Control down vs SZD	4.85098	0.337679	12.8252	0.721802	0.185628	1
16702	8022342	NM_006796 // AFG3L2 // AFG3 ATPase family gene 3-like 2 (yeast) // 18p11 // 1093	AFG3L2	NM_006796	0.0348276	0.755467	0.0348276	0.922892	-1.08355	Control down vs SZD	0.560426	0.0654039	7.37662	0.08041	0.31121	1
22791	8083240	"NM_031850 // AGTR1 // angiotensin II receptor, type 1 // 3q21-q25 // 185 /// NM_"	AGTR1	NM_031850	0.0124425	0.265058	0.0124425	0.808995	-1.2361	Control down vs SZD	1.42589	0.270924	12.4258	0.561075	0.506677	1
6949	7924491	"BC043142 // AIDA // axin interactor, dorsalization associated // 1q41 // 64853"	AIDA	BC043142	0.0339326	0.324156	0.0339326	1.20019	1.20019	Control up vs SZD	1.27164	0.333409	7.48356	0.415848	0.699166	1
4738	7902038	NM_001005353 // AK3L1 // adenylate kinase 3-like 1 // 1p31.3 // 205 /// NM_01341	AK3L1	NM_001005353	0.0277459	0.321595	0.0277459	1.19852	1.19852	Control up vs SZD	1.27775	0.294495	8.34375	0.409532	0.614612	1
10788	7962183	NM_001005353 // AK3L1 // adenylate kinase 3-like 1 // 1p31.3 // 205 /// NM_01341	AK3L1	NM_001005353	0.0106463	8.02E-05	0.0106463	1.60665	1.60665	Control up vs SZD	10.6156	1.26119	13.3569	2.8076	0.316814	1
28255	8136336	"NM_020299 // AKR1B10 // aldo-keto reductase family 1, member B10 (aldose reducta"	AKR1B10	NM_020299	0.00290492	0.859881	0.00290492	1.15424	1.15424	Control up vs SZD	0.412686	0.0660352	23.3463	0.256947	0.426702	1
7112	7925929	"NM_003739 // AKR1C3 // aldo-keto reductase family 1, member C3 (3-alpha hydroxys"	AKR1C3	NM_003739	0.0363189	0.0191785	0.0363189	0.754381	-1.32559	Control down vs SZD	3.58111	0.82602	7.20641	0.992107	0.615095	1
31202	8163509	"NM_000031 // ALAD // aminolevulinate, delta-, dehydratase // 9q33.1 // 210 /// E"	ALAD	NM_000031	0.00158016	0.648068	0.00158016	1.16187	1.16187	Control up vs SZD	0.707982	0.0566838	29.7556	0.28111	0.213504	1
23455	8090314	"NM_012190 // ALDH1L1 // aldehyde dehydrogenase 1 family, member L1 // 3q21.3 // "	ALDH1L1	NM_012190	0.00017297	0.0116194	0.00017297	1.78242	1.78242	Control up vs SZD	4.05467	0.368911	67.8487	4.17169	0.242624	1
10465	7958784	NM_000690 // ALDH2 // aldehyde dehydrogenase 2 family (mitochondrial) // 12q24.2	ALDH2	NM_000690	0.0108455	0.286586	0.0108455	0.873731	-1.14452	Control down vs SZD	1.36618	0.103086	13.2436	0.227539	0.201216	1
5839	7912975	"NM_003748 // ALDH4A1 // aldehyde dehydrogenase 4 family, member A1 // 1p36 // 86"	ALDH4A1	NM_003748	0.0188763	6.82E-08	0.0188763	2.01021	2.01021	Control up vs SZD	30.4753	3.59367	10.1654	6.08851	0.314455	1
25932	8113773	"NM_001182 // ALDH7A1 // aldehyde dehydrogenase 7 family, member A1 // 5q31 // 50"	ALDH7A1	NM_001182	0.0137504	0.00406883	0.0137504	1.37069	1.37069	Control up vs SZD	5.13616	0.628447	11.8542	1.24163	0.326287	1
15839	8013660	"NM_005165 // ALDOC // aldolase C, fructose-bisphosphate // 17cen-q12 // 230 /// "	ALDOC	NM_005165	0.0404638	5.36E-07	0.0404638	1.75666	1.75666	Control up vs SZD	22.793	3.50866	6.77898	3.96419	0.410495	1
9770	7951633	"NM_024740 // ALG9 // asparagine-linked glycosylation 9, alpha-1,2-mannosyltransf"	ALG9	NM_024740	0.00219907	0.0807997	0.00219907	0.808488	-1.23688	Control down vs SZD	2.34817	0.129671	26.1151	0.564394	0.147259	1
18517	8040053	NM_018436 // ALLC // allantoicase // 2q35 // 55821 /// ENST00000252505 // ALLC /	ALLC	NM_018436	0.042592	0.0872715	0.042592	1.2385	1.2385	Control up vs SZD	2.28648	0.520861	6.58181	0.571368	0.607468	1
16833	8023528	NM_052947 // ALPK2 // alpha-kinase 2 // 18q21.31-q21.32 // 115701 /// ENST000003	ALPK2	NM_052947	0.0289316	3.74E-12	0.0289316	0.320059	-3.12442	Control down vs SZD	111.828	11.9179	8.15997	16.2083	0.284197	1
13200	7985620	NM_020778 // ALPK3 // alpha-kinase 3 // 15q25.2 // 57538 /// ENST00000258888 // 	ALPK3	NM_020778	0.00916481	0.582994	0.00916481	1.19183	1.19183	Control up vs SZD	0.801385	0.16138	14.2993	0.384605	0.537004	1
14671	8001477	NM_001144 // AMFR // autocrine motility factor receptor // 16q21 // 267 /// ENST	AMFR	NM_001144	0.0459404	0.000120642	0.0459404	1.29126	1.29126	Control up vs SZD	9.91706	0.777496	6.29709	0.815995	0.209066	1
6325	7918359	NM_020703 // AMIGO1 // adhesion molecule with Ig-like domain 1 // 1p13.3 // 5746	AMIGO1	NM_020703	0.0478955	0.203233	0.0478955	1.13221	1.13221	Control up vs SZD	1.62866	0.188047	6.14351	0.192544	0.307895	1
23510	8090852	NM_016201 // AMOTL2 // angiomotin like 2 // 3q21-q22 // 51421 /// ENST0000024988	AMOTL2	NM_016201	0.0441901	2.41E-05	0.0441901	0.750419	-1.33259	Control down vs SZD	12.8892	0.958848	6.44228	1.02953	0.198377	1
23186	8087419	NM_000481 // AMT // aminomethyltransferase // 3p21.2-p21.1 // 275 /// NM_032316 	AMT	NM_000481	0.0340738	0.0535355	0.0340738	1.20946	1.20946	Control up vs SZD	2.68435	0.362944	7.46644	0.45165	0.360554	1
15561	8010686	NM_001002244 // ANAPC11 // anaphase promoting complex subunit 11 // 17q25.3 // 5	ANAPC11	NM_001002244	0.00680825	0.0935868	0.00680825	1.25357	1.25357	Control up vs SZD	2.23085	0.234551	16.3158	0.637814	0.280372	1
16418	8019687	NM_001002244 // ANAPC11 // anaphase promoting complex subunit 11 // 17q25.3 // 5	ANAPC11	NM_001002244	0.00940832	0.0531075	0.00940832	1.28607	1.28607	Control up vs SZD	2.69102	0.335629	14.1309	0.790458	0.332591	1
23511	8090866	NR_024400 // ANAPC13 // anaphase promoting complex subunit 13 // 3q22.2 // 25847	ANAPC13	NR_024400	0.0442505	0.0598261	0.0442505	0.850823	-1.17533	Control down vs SZD	2.59245	0.303793	6.43715	0.325926	0.312489	1
11250	7967149	NM_016237 // ANAPC5 // anaphase promoting complex subunit 5 // 12q24.31 // 51433	ANAPC5	NM_016237	0.0229728	0.195943	0.0229728	0.84312	-1.18607	Control down vs SZD	1.65659	0.237001	9.20651	0.363658	0.381507	1
30061	8152297	NM_001146 // ANGPT1 // angiopoietin 1 // 8q22.3-q23 // 284 /// ENST00000297450 /	ANGPT1	NM_001146	0.00524171	1.71E-05	0.00524171	0.465262	-2.14933	Control down vs SZD	13.5994	2.40182	18.2645	7.31136	0.470966	1
7876	7933772	"NM_020987 // ANK3 // ankyrin 3, node of Ranvier (ankyrin G) // 10q21 // 288 /// "	ANK3	NM_020987	0.0256886	7.02E-07	0.0256886	0.396476	-2.52222	Control down vs SZD	21.9291	7.38059	8.6891	10.6884	0.897508	1
19256	8047006	NM_144708 // ANKAR // ankyrin and armadillo repeat containing // 2q32.2 // 15070	ANKAR	NM_144708	0.0174118	0.473865	0.0174118	0.881622	-1.13427	Control down vs SZD	0.973648	0.112436	10.5787	0.198237	0.307943	1
13055	7984227	NM_182703 // ANKDD1A // ankyrin repeat and death domain containing 1A // 15q22.3	ANKDD1A	NM_182703	0.00889996	0.140656	0.00889996	1.26122	1.26122	Control up vs SZD	1.91153	0.278536	14.4894	0.672637	0.388569	1
15377	8008609	NM_153228 // ANKFN1 // ankyrin-repeat and fibronectin type III domain containing	ANKFN1	NM_153228	0.0424727	1.71E-07	0.0424727	1.7539	1.7539	Control up vs SZD	26.8008	3.58784	6.5925	3.94215	0.356989	1
11304	7967794	NM_015114 // ANKLE2 // ankyrin repeat and LEM domain containing 2 // 12q24.33 //	ANKLE2	NM_015114	0.0351744	0.0939425	0.0351744	0.920036	-1.08691	Control down vs SZD	2.22784	0.0709438	7.33618	0.0867428	0.0849181	1
28475	8138370	NM_020319 // ANKMY2 // ankyrin repeat and MYND domain containing 2 // 7p21 // 57	ANKMY2	NM_020319	0.0380018	0.314573	0.0380018	0.860438	-1.1622	Control down vs SZD	1.29473	0.240983	7.0253	0.282163	0.496338	1
11828	7972828	NM_017664 // ANKRD10 // ankyrin repeat domain 10 // 13q34 // 55608 /// ENST00000	ANKRD10	NM_017664	0.0484148	0.243191	0.0484148	1.11113	1.11113	Control up vs SZD	1.49163	0.136317	6.10413	0.138682	0.243701	1
10453	7958600	NM_033121 // ANKRD13A // ankyrin repeat domain 13A // 12q24.11 // 88455 /// ENST	ANKRD13A	NM_033121	0.011666	0.0444392	0.011666	0.782539	-1.27789	Control down vs SZD	2.84045	0.351856	12.8047	0.750901	0.330328	1
6196	7916928	NM_030816 // ANKRD13C // ankyrin repeat domain 13C // 1p32.3-p31.3 // 81573 /// 	ANKRD13C	NM_030816	0.0218145	0.756251	0.0218145	0.920033	-1.08692	Control down vs SZD	0.559354	0.0550625	9.45288	0.0867499	0.262505	1
30949	8161270	BC152434 // ANKRD18A // ankyrin repeat domain 18A // 9p13.1 // 253650 /// AY5509	ANKRD18A	BC152434	0.0162882	0.0298596	0.0162882	0.786104	-1.2721	Control down vs SZD	3.18313	0.397109	10.9288	0.72332	0.332678	1
19927	8053998	NM_016466 // ANKRD39 // ankyrin repeat domain 39 // 2q11.2 // 51239 /// ENST0000	ANKRD39	NM_016466	0.034101	0.818825	0.034101	1.06312	1.06312	Control up vs SZD	0.472537	0.0376125	7.46316	0.0467846	0.212258	1
25317	8107992	NM_175873 // ANKRD43 // ankyrin repeat domain 43 // 5q31.1 // 134548 /// ENST000	ANKRD43	NM_175873	0.0408374	0.286534	0.0408374	0.920683	-1.08615	Control down vs SZD	1.36632	0.0758834	6.74336	0.0852849	0.148103	1
20276	8057990	NM_153697 // ANKRD44 // ankyrin repeat domain 44 // 2q33.1 // 91526 /// ENST0000	ANKRD44	NM_153697	0.0175313	1.70E-06	0.0175313	0.582444	-1.7169	Control down vs SZD	19.2766	2.07636	10.5433	3.64862	0.287238	1
13943	7993815	NM_145865 // ANKS4B // ankyrin repeat and sterile alpha motif domain containing 	ANKS4B	NM_145865	0.0332665	0.953726	0.0332665	1.08341	1.08341	Control up vs SZD	0.246564	0.0635686	7.56564	0.0801563	0.687514	1
8390	7939024	NM_031418 // ANO3 // anoctamin 3 // 11p14.2 // 63982 /// ENST00000256737 // ANO3	ANO3	NM_031418	0.0110702	0.515792	0.0110702	0.818556	-1.22166	Control down vs SZD	0.904462	0.228945	13.1191	0.500594	0.67501	1
12900	7982531	"NM_006305 // ANP32A // acidic (leucine-rich) nuclear phosphoprotein 32 family, m"	ANP32A	NM_006305	0.0156372	0.0360207	0.0156372	1.25142	1.25142	Control up vs SZD	3.01981	0.338115	11.1468	0.628152	0.298575	1
5069	7905283	NM_003568 // ANXA9 // annexin A9 // 1q21 // 8416 /// ENST00000368947 // ANXA9 //	ANXA9	NM_003568	0.0244856	0.860303	0.0244856	0.929749	-1.07556	Control down vs SZD	0.412051	0.0446251	8.90876	0.0662591	0.2888	1
22911	8084345	"NM_004068 // AP2M1 // adaptor-related protein complex 2, mu 1 subunit // 3q28 //"	AP2M1	NM_004068	0.0184218	0.000314448	0.0184218	0.763325	-1.31006	Control down vs SZD	8.40792	0.531177	10.2889	0.910874	0.168469	1
6487	7919729	NM_016022 // APH1A // anterior pharynx defective 1 homolog A (C. elegans) // 1p3	APH1A	NM_016022	0.0184922	0.1131	0.0184922	1.18803	1.18803	Control up vs SZD	2.08141	0.216596	10.2695	0.370722	0.277498	1
9795	7951859	NM_000482 // APOA4 // apolipoprotein A-IV // 11q23 // 337 /// ENST00000357780 //	APOA4	NM_000482	0.011438	0.6206	0.011438	1.11299	1.11299	Control up vs SZD	0.746817	0.0664449	12.9224	0.143105	0.237255	1
22230	8077192	NM_000482 // APOA4 // apolipoprotein A-IV // 11q23 // 337 /// ENST00000357780 //	APOA4	NM_000482	0.00344381	0.741949	0.00344381	1.13032	1.13032	Control up vs SZD	0.578886	0.0516376	21.7766	0.187415	0.237871	1
21443	8069644	NM_000484 // APP // amyloid beta (A4) precursor protein // 21q21.2|21q21.3 // 35	APP	NM_000484	0.00289012	0.444952	0.00289012	1.17184	1.17184	Control up vs SZD	1.02418	0.0805416	23.3948	0.314043	0.209707	1
16745	8022655	NM_001650 // AQP4 // aquaporin 4 // 18q11.2-q12.1 // 361 /// NM_004028 // AQP4 /	AQP4	NM_001650	0.0217381	6.05E-11	0.0217381	4.83804	4.83804	Control up vs SZD	77.9964	19.6655	9.46975	31.038	0.672357	1
30888	8160663	NM_001170 // AQP7 // aquaporin 7 // 9p13 // 364 /// ENST00000297988 // AQP7 // a	AQP7	NM_001170	0.002064	0.240213	0.002064	1.4364	1.4364	Control up vs SZD	1.50103	0.366907	26.7825	1.63778	0.651832	1
30369	8155442	NR_002817 // AQP7P1 // aquaporin 7 pseudogene 1 // 9q13 // 375719 /// NM_001170 	AQP7P1	NR_002817	0.00679676	0.000520748	0.00679676	1.91121	1.91121	Control up vs SZD	7.68133	1.92539	16.3278	5.23957	0.668422	1
30394	8155554	NR_002817 // AQP7P1 // aquaporin 7 pseudogene 1 // 9q13 // 375719 /// NM_001170 	AQP7P1	NR_002817	0.00516333	0.00114242	0.00516333	1.92205	1.92205	Control up vs SZD	6.63439	1.74021	18.3821	5.33146	0.699469	1
30992	8161488	NR_002817 // AQP7P1 // aquaporin 7 pseudogene 1 // 9q13 // 375719 /// NM_001170 	AQP7P1	NR_002817	0.00716781	0.000296659	0.00716781	1.91192	1.91192	Control up vs SZD	8.4947	1.97301	15.952	5.24558	0.619368	1
31004	8161558	NR_002817 // AQP7P1 // aquaporin 7 pseudogene 1 // 9q13 // 375719 /// NR_002823 	AQP7P1	NR_002817	0.00628831	0.000802223	0.00628831	1.96508	1.96508	Control up vs SZD	7.09325	2.0245	16.8898	5.69892	0.761101	1
24453	8099760	"NM_015230 // ARAP2 // ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 "	ARAP2	NM_015230	0.00121889	0.000379719	0.00121889	2.51432	2.51432	Control up vs SZD	8.13102	1.93544	32.9107	10.6161	0.634751	1
8948	7944285	NM_001655 // ARCN1 // archain 1 // 11q23.3 // 372 /// NM_001142281 // ARCN1 // a	ARCN1	NM_001655	0.0269882	6.08E-05	0.0269882	0.781536	-1.27953	Control down vs SZD	11.1103	0.537707	8.46681	0.758777	0.129059	1
20859	8064042	NM_175609 // ARFGAP1 // ADP-ribosylation factor GTPase activating protein 1 // 2	ARFGAP1	NM_175609	0.028652	0.438285	0.028652	1.0909	1.0909	Control up vs SZD	1.03621	0.0691505	8.20238	0.0945331	0.177958	1
22180	8076515	NM_014570 // ARFGAP3 // ADP-ribosylation factor GTPase activating protein 3 // 2	ARFGAP3	NM_014570	0.0169208	0.0109282	0.0169208	0.786163	-1.272	Control down vs SZD	4.11443	0.404294	10.7279	0.722868	0.262033	1
27551	8129458	NM_033515 // ARHGAP18 // Rho GTPase activating protein 18 // 6q22.33 // 93663 //	ARHGAP18	NM_033515	0.00212735	0.000340471	0.00212735	0.474747	-2.10639	Control down vs SZD	8.29041	1.57147	26.4624	6.93079	0.505472	1
16088	8016215	NM_199282 // ARHGAP27 // Rho GTPase activating protein 27 // 17q21.31 // 201176 	ARHGAP27	NM_199282	0.0421552	0.485619	0.0421552	0.904122	-1.10605	Control down vs SZD	0.9538	0.114963	6.62117	0.126865	0.321417	1
6284	7917850	NM_004815 // ARHGAP29 // Rho GTPase activating protein 29 // 1p22.1-p21.3 // 941	ARHGAP29	NM_004815	0.00200537	0.000102278	0.00200537	0.345645	-2.89314	Control down vs SZD	10.1956	3.12149	27.0905	14.0938	0.816432	1
29121	8144281	NM_014629 // ARHGEF10 // Rho guanine nucleotide exchange factor (GEF) 10 // 8p23	ARHGEF10	NM_014629	0.0388581	1.39E-05	0.0388581	1.21574	1.21574	Control up vs SZD	14.0478	0.41221	6.93725	0.476601	0.0782493	1
8752	7942417	NM_014786 // ARHGEF17 // Rho guanine nucleotide exchange factor (GEF) 17 // 11q1	ARHGEF17	NM_014786	0.0393356	0.0015005	0.0393356	1.30016	1.30016	Control up vs SZD	6.29353	0.749362	6.88926	0.860426	0.317517	1
19074	8045229	NM_032995 // ARHGEF4 // Rho guanine nucleotide exchange factor (GEF) 4 // 2q22 /	ARHGEF4	NM_032995	0.00337574	9.24E-06	0.00337574	1.89351	1.89351	Control up vs SZD	14.964	1.39099	21.9562	5.09013	0.247881	1
18904	8043621	NM_212481 // ARID5A // AT rich interactive domain 5A (MRF1-like) // 2q11.2 // 10	ARID5A	NM_212481	0.0135871	0.00113555	0.0135871	1.39081	1.39081	Control up vs SZD	6.64206	0.68399	11.9215	1.35903	0.274609	1
13095	7984641	"NM_005744 // ARIH1 // ariadne homolog, ubiquitin-conjugating enzyme E2 binding p"	ARIH1	NM_005744	0.0491763	0.0651884	0.0491763	0.910691	-1.09807	Control down vs SZD	2.52206	0.108439	6.04741	0.109296	0.114657	1
22576	8081115	NM_182896 // ARL13B // ADP-ribosylation factor-like 13B // 3q11.1 // 200894 /// 	ARL13B	NM_182896	0.0432229	0.000734292	0.0432229	1.27432	1.27432	Control up vs SZD	7.21118	0.674706	6.52589	0.733843	0.249504	1
